,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
7401,2020-10-21 15:49:00,part of the lanes of kwun tong road mong kok bound near lai yip street which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,kwun tong road,mong kok,updated,lai yip street,
7402,2020-10-21 16:07:00,"due to vehicle breakdown , part of the lanes of lung cheung road tsuen wan bound near ching tak street is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,lung cheung road,tsuen wan,new,ching tak street,
7403,2020-10-21 16:14:00,part of the lanes of lung cheung road tsuen wan bound near ching tak street which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,lung cheung road,tsuen wan,updated,ching tak street,
7404,2020-10-21 18:24:00,"due to traffic accident , the fast lane of waterloo road flyover new territories bound near junction road is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,waterloo road,new territories,new,junction road,
7405,2020-10-21 18:28:00,"due to traffic accident , part of the lanes of stubbs road roundabout near hong kong adventist hospital is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,stubbs road,,new,hong kong adventist hospital,
7406,2020-10-21 18:34:00,part of the lanes of stubbs road roundabout near hong kong adventist hospital which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,stubbs road,,closed,hong kong adventist hospital,
7407,2020-10-21 18:32:00,the fast lane of waterloo road flyover new territories bound near junction road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,waterloo road,new territories,closed,junction road,
7408,2020-10-21 18:42:00,the fast lane of west kowloon corridor mong kok bound near w. s. d. kowloon west regional building which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,west kowloon corridor,mong kok,updated,w.s.d. kowloon west regional building,
7409,2020-10-21 22:00:00,"due to watermain emergency works , the slow lane of argyle street kowloon city bound near forfar road is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",watermain emergency works,argyle street,kowloon city,new,forfar road,
7410,2020-10-22 07:08:00,"lantau link: due to strong wind, the following temporary traffic measure is implemented on lantau link: the speed limit of lantau link is reduced to 50km/h. ting kau bridge: due to strong wind, the following temporary traffic arrangements are implemented on ting kau bridge: the middle lanes of ting kau bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,,,updated,,
7411,2020-10-22 07:42:00,"lantau link: due to strong wind, the following temporary traffic measures are implemented on lantau link: the middle lanes of lantau link are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. ting kau bridge: due to strong wind, the following temporary traffic arrangements are implemented on ting kau bridge: the middle lanes of ting kau bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,,,updated,,
7412,2020-10-22 07:42:00,"due to traffic accident , the fast lane of wong chu road butterfly estate bound near tuen mun heung sze wui road is closed to all traffic.   only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,wong chu road,butterfly estate,new,tuen mun heung sze wui road,
7413,2020-10-22 08:01:00,"due to traffic accident , the fast and middle lanes of ching cheung road kwun tong bound near caritas medical centre are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,ching cheung road,kwun tong,new,caritas medical centre,
7414,2020-10-22 08:05:00,the fast lane of wong chu road butterfly estate bound near tuen mun heung sze wui road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,wong chu road,butterfly estate,updated,tuen mun heung sze wui road,
7415,2020-10-22 08:10:00,"lantau link: due to strong wind, the following temporary traffic measures are implemented on lantau link: the middle lanes of lantau link are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. ting kau bridge: due to strong wind, the following temporary traffic arrangements are implemented on ting kau bridge: the middle lanes of ting kau bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. stonecutters bridge: due to strong wind, the following temporary traffic arrangements are implemented on stonecutters bridge: the middle lanes of stonecutters bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,,,updated,,
7416,2020-10-22 08:19:00,"due to traffic accident , part of the lanes of ching cheung road tsuen wan bound near caritas medical centre is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,ching cheung road,tsuen wan,new,caritas medical centre,
7417,2020-10-22 08:27:00,"due to traffic accident , part of the lanes of ching cheung road tsuen wan bound near caritas medical centre is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on ching cheung road tsuen wan bound ends at lung cheung road near lung cheung road lookout.   traffic is congested now. ",traffic accident,ching cheung road,tsuen wan,updated,caritas medical centre,
7418,2020-10-22 08:28:00,"due to traffic accident , part of the lanes of lung cheung road tsuen wan bound near diamond hill mtr station are closed to all traffic.   only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,tsuen wan,new,diamond hill mtr station,
7419,2020-10-22 08:33:00,"due to traffic accident , the fast and middle lanes of ching cheung road kwun tong bound near caritas medical centre are still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on ching cheung road kwun tong bound ends at ching cheung road near nob hill.   traffic is congested now. ",traffic accident,ching cheung road,kwun tong,updated,caritas medical centre,
7420,2020-10-22 08:37:00,the fast and middle lanes of ching cheung road kwun tong bound near caritas medical centre which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,ching cheung road,kwun tong,updated,caritas medical centre,
7421,2020-10-22 08:38:00,part of the lanes of lung cheung road tsuen wan bound near diamond hill mtr station which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,tsuen wan,updated,diamond hill mtr station,
7422,2020-10-22 08:36:00,part of the lanes of ching cheung road tsuen wan bound near caritas medical centre which was closed due to traffic accident is re-opened to all traffic.   traffic queue takes time to disperse. ,traffic accident,ching cheung road,tsuen wan,closed,caritas medical centre,
7423,2020-10-22 08:46:00,"lantau link:  due to strong wind, the following temporary traffic measures are implemented on lantau link: the middle lanes of lantau link are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h.  .  ting kau bridge: due to strong wind, the following temporary traffic arrangements are implemented on ting kau bridge: the middle lanes of ting kau bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h.   traffic is busy now in the vicinity of ting kau bridge. members of the public travelling between northwest new territories and kowloon / lantau island etc. are advised to avoid driving to the affected road sections and allow more travelling time.   stonecutters bridge: due to strong wind, the following temporary traffic arrangements are implemented on stonecutters bridge: the middle lanes of stonecutters bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h.  .  members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,,,updated,,
7424,2020-10-22 08:53:00,traffic at the following road sections have resumed normal: - tai po road-sha tin (kowloon bound) - tolo highway (kowloon bound) - tate's cairn highway (kowloon bound) ,heavy traffic,"tai po road-sha tin, tolo highway and tate's cairn highway, kowloon bound",,updated,,
7425,2020-10-22 09:02:00,"due to traffic accident , the fast lane of ching cheung road tsuen wan bound near caritas medical centre is closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on ching cheung road tsuen wan bound ends at lung cheung road near chuk yuen road.   traffic is congested now. ",traffic accident,ching cheung road,tsuen wan,new,caritas medical centre,
7426,2020-10-22 09:12:00,"due to traffic accident , the fast lane of ching cheung road tsuen wan bound near caritas medical centre is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on ching cheung road tsuen wan bound ends at lung cheung road near diamond hill mtr station.   traffic is congested now. ",traffic accident,ching cheung road,tsuen wan,updated,caritas medical centre,
7427,2020-10-22 09:41:00,"due to traffic accident , the lane no. 3 and 4 of lai chi kok road mei foo bound near maple street are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,lai chi kok road,mei foo,new,maple street,
7428,2020-10-22 10:30:00,the lane no. 3 and 4 of lai chi kok road mei foo bound near maple street which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,lai chi kok road,mei foo,updated,maple street,
7429,2020-10-22 11:01:00,"lantau link: the temporary speed limit arrangement which was implemented before in the lantau link is cancelled. ting kau bridge: the temporary speed limit arrangement which was implemented before in the ting kau bridge is cancelled. stonecutters bridge: due to strong wind, the following temporary traffic arrangements are implemented on stonecutters bridge: the middle lanes of stonecutters bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,"the speed limit of lantau link, ting kau bridge and stonecutters bridge under strong wind",,updated,,
7430,2020-10-22 12:02:00,"lantau link:  due to strong wind, the following temporary traffic measure is implemented on lantau link: the speed limit of lantau link is reduced to 50km/h.  .  ting kau bridge:  due to strong wind, the following temporary traffic arrangement is implemented on ting kau bridge: the speed limit of ting kau bridge is reduced to 50km/h.  .  stonecutters bridge: due to strong wind, the following temporary traffic arrangements are still implemented on stonecutters bridge: the middle lanes of stonecutters bridge are closed. only fast and slow lanes are opened to traffic. speed limit is reduced to 50km/h.  .  members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,"the speed limit of lantau link, ting kau bridge and stonecutters bridge under strong wind",,updated,,
7431,2020-10-22 12:13:00,"lantau link: due to strong wind, the following temporary traffic measure is implemented on lantau link: the speed limit of lantau link is reduced to 50km/h. ting kau bridge: due to strong wind, the following temporary traffic arrangement is implemented on ting kau bridge: the speed limit of ting kau bridge is reduced to 50km/h. stonecutters bridge: the middle lane closure and temporary speed limit arrangements which were implemented before in the stonecutters bridge are cancelled. members of the public are advised to watch out for the latest traffic news through radio and television broadcasts, and for the traffic signs on site. ",strong wind,"the speed limit of lantau link, ting kau bridge and stonecutters bridge under strong wind",,updated,,
7432,2020-10-22 18:25:00,"due to vehicle breakdown , the only lane of argyle street flyover kwun tong bound near princess margaret road is closed to all traffic. traffic is busy now. ",vehicle breakdown,argyle street,kwun tong,new,princess margaret road,
7433,2020-10-22 18:46:00,"due to traffic accident , the fast lane of waterloo road flyover sha tin bound near hong kong baptist university is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,waterloo road,sha tin,new,hong kong baptist university,
7434,2020-10-22 18:53:00,"due to traffic accident , the fast lane of waterloo road flyover sha tin bound near hong kong baptist university is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on waterloo road sha tin bound ends at princess margaret road near pui ching road.   traffic is congested now. ",traffic accident,waterloo road,sha tin,updated,hong kong baptist university,
7435,2020-10-22 19:00:00,the fast lane of waterloo road flyover sha tin bound near hong kong baptist university which was closed due to traffic accident is re-opened to all traffic. traffic queues take time to disperse. ,traffic accident,waterloo road,sha tin,closed,hong kong baptist university,
7436,2020-10-22 19:15:00,"due to traffic accident happened earlier , waterloo road and princess margaret road sha tin bound are busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",traffic accident,,,new,,
7437,2020-10-22 19:23:00,the only lane of argyle street flyover kwun tong bound near princess margaret road which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,argyle street,kwun tong,updated,princess margaret road,
7438,2020-10-22 19:38:00,waterloo road and princess margaret road sha tin bound have resumed normal. ,traffic accident,,,updated,,
7439,2020-10-22 19:48:00,"due to road incident, the left turn movement from mong kok road to sai yee street (prince edward road west bound) is banned. traffic is busy now. ",traffic accident,,,new,,
7440,2020-10-22 19:48:00,"due to road incident, vehicles on mong kok road cannot make left turn onto sai yee street (prince edward road west bound). traffic is busy now. ",traffic accident,,,updated,,
7441,2020-10-22 19:58:00,the road incident on mong kok road is cleared. traffic on mong kok road has resumed normal. ,traffic accident,,,updated,,
7442,2020-10-23 00:20:00,"due to hoisting of strong wind signal no. 3, transport department appeals motorists and the commuters to: i. pay attention to the special traffic and transport arrangements may be implemented; ii. pay attention to the possible traffic congestions of the roads; iii. plan the journey in advance; iv. allow more traveling time to cater for delay; v. drive with extra care and patience; and vi. take heed of traffic situation particularly at busy junctions with obstructive views. ",strong wind signal no. 3,,,updated,,
7443,2020-10-23 06:16:00,"due to emergency track renewal work, eastbound and westbound tram service from shau kei wan terminus to hoi foo street are suspended. ",traffic accident,tram service disruption,,new,,
7444,2020-10-23 06:31:00,eastbound and westbound tram service from shau kei wan terminus to hoi foo street which were suspended due to emergency track repair work have been resumed. ,traffic accident,tram service disruption,,updated,,
7445,2020-10-23 06:39:00,"due to hoisting of strong wind signal no.3, the following ferry service has been suspended until further notice. - between ma liu shui and tap mun ",hoisting of strong wind signal no. 3,,,new,,
7446,2020-10-23 08:04:00,"due to traffic accident , the fast and middle lanes of tsing long highway (ting kau bridge) kowloon bound are closed to all traffic.   only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,tsing long highway (ting kau bridge),kowloon,new,,
7447,2020-10-23 08:10:00,the fast and middle lanes of tsing long highway (ting kau bridge) kowloon bound which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tsing long highway (ting kau bridge),kowloon,updated,,
7448,2020-10-23 08:54:00,"due to traffic accident , the slow lane of lung cheung road kwai chung bound near beacon heights is closed to all traffic.   only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,kwai chung,new,beacon heights,
7449,2020-10-23 09:01:00,"due to vehicle breakdown , the fast lane of island eastern corridor chai wan bound near tai on street is closed to all traffic.   only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,island eastern corridor,chai wan,new,tai on street,
7450,2020-10-23 09:06:00,the slow lane of lung cheung road kwai chung bound near beacon heights which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,kwai chung,updated,beacon heights,
7451,2020-10-23 09:10:00,the traffic at following road sections have resumed normal- - tai po road-sha tin (kowloon bound) - tolo highway (kowloon bound) - tate's cairn highway (kowloon bound) - tuen mun road (kowloon bound) ,heavy traffic,"tai po road - sha tin, tolo highway, tate's cairn highway, tuen mun road",,closed,,
7452,2020-10-23 09:32:00,"due to vehicle breakdown , the fast lane of island eastern corridor chai wan bound near tai on street is still closed to all traffic.   only remaining lanes are still available to motorists.   traffic queue on island eastern corridor chai wan bound ends at quarry bay park.   traffic is congested now. ",vehicle breakdown,island eastern corridor,chai wan,updated,tai on street,
7453,2020-10-23 09:44:00,the fast lane of island eastern corridor chai wan bound near tai on street which was closed due to vehicle breakdown is re-opened to all traffic.   traffic queue takes time to disperse. ,vehicle breakdown,island eastern corridor,chai wan,updated,tai on street,
7454,2020-10-23 09:54:00,"due to hoisting of strong wind signal no.3, the following ferry services have been suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek ",hoisting of strong wind signal no. 3,,,updated,,
7455,2020-10-23 12:00:00,"starting from 11 a. m. , the ferry service provided by fortune ferry company limited only maintains limited service for tuen mun - tung chung - sha lo wan and will not stop at tai o. ",strong wind,,,new,,
7456,2020-10-23 12:54:00,"due to heavy traffic, the following roads are busy: - queen road central - upper albert road - ice house road - gloucester road motorists passing through the above section of road are advised to drive with utmost care and patience. ",heavy traffic,upper albert road,,new,,
7457,2020-10-23 13:00:00,"due to hoisting of strong wind signal no.3, the following ferry services are still suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek other than that, fortune ferry company limited only maintains limited service for tuen mun - tung chung - sha lo wan and will not stop at tai o today. ",hoisting of strong wind signal no. 3,,,updated,,
7458,2020-10-23 13:38:00,traffic at the following roads have resumed normal. - queen's road central - upper albert road - ice house road - gloucester road ,heavy traffic,"upper albert road, queen's road central, ice house street",,updated,,
7459,2020-10-23 14:10:00,"due to traffic accident , all lanes of kwai chung road flyover mong kok bound near mei foo are still closed to all traffic. traffic queue on kwai chung road mong kok bound ends at princess margaret hospital. motorists are advised to use alternative routes. traffic is congested now. ",traffic accident,kwai chung road,mong kok,updated,mei foo,
7460,2020-10-23 14:19:00,"due to traffic accident , the fast and middle lanes of kwai chung road flyover mong kok bound near mei foo are still closed to all traffic.  only the slow lane is still available to motorists.   traffic queue on kwai chung road mong kok bound ends at cho yiu chuen.   traffic is congested now. ",traffic accident,kwai chung road,mong kok,updated,mei foo,
7461,2020-10-23 15:15:00,the fast and middle lanes of kwai chung road flyover mong kok bound near mei foo which were closed due to traffic accident are re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,kwai chung road,mong kok,updated,mei foo,
7462,2020-10-23 17:21:00,"due to traffic accident , the only lane of the slip road leading from tseung kwan o road to sau mau ping road sau mau ping bound is closed to all traffic.   motorists are advised to use alternative routes.   traffic is busy now. ",traffic accident,tseung kwan o road,sau mau ping,new,1,
7463,2020-10-23 17:35:00,"due to traffic accident , the slow lane of tolo highway sheung shui bound near sea view villas is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tolo highway,sheung shui,new,sea view villas,
7464,2020-10-23 17:42:00,"due to traffic accident , the slow lane of tolo highway sheung shui bound near sea view villas is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tolo highway sheung shui bound ends at science park.   traffic is congested now. ",traffic accident,tolo highway,sheung shui,updated,sea view villas,
7465,2020-10-23 17:48:00,traffic at the following road sections is busy: - kwun tong by-pass (yau tong bound) - kwun tong road (yau tong bound) motorists passing through the above section of road are advised to drive with utmost care and patience. ,heavy traffic,,,new,,
7466,2020-10-23 17:53:00,"due to traffic accident , the slow lane of tolo highway sheung shui bound near sea view villas is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tolo highway sheung shui bound ends at university mtr station.   traffic is congested now. ",traffic accident,tolo highway,sheung shui,updated,sea view villas,
7467,2020-10-23 17:33:00,the only lane of the slip road leading from tseung kwan o road to sau mau ping road sau mau ping bound which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tseung kwan o road,sau mau ping,closed,1,
7468,2020-10-23 18:12:00,"due to traffic accident , the slow lane of tolo highway sheung shui bound near sea view villas is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tolo highway sheung shui bound ends at sha tin sewage treatment works.   traffic is congested now. ",traffic accident,tolo highway,sheung shui,updated,sea view villas,
7469,2020-10-23 18:28:00,"due to traffic accident , the middle lane of tuen mun road kowloon bound near siu hong mtr station is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tuen mun road,kowloon,new,siu hong mtr station,
7470,2020-10-23 18:45:00,"due to traffic accident , part of the lanes of kwun tong by-pass tate's cairn tunnel bound near richland garden is closed to all traffic.  only remaining lane(s) is still available to motorists.   traffic is busy now. ",traffic accident,kwun tong by-pass,tate's cairn tunnel,new,richland garden,
7471,2020-10-23 18:55:00,"due to traffic accident , the slow lane of tolo highway sheung shui bound near sea view villas is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queues on tolo highway sheung shui bound ends at sha tin sewage treatment works and tate's cairn highway near a kung kok.   traffic is congested now. ",traffic accident,tolo highway,sheung shui,updated,sea view villas,
7472,2020-10-23 18:57:00,"due to traffic accident , the fast lane of ching cheung road kwai chung bound near caritas medical centre is closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on ching cheung road kwai chung bound ends at lung cheung road near beacon heights.   traffic is congested now. ",traffic accident,ching cheung road,kwai chung,new,caritas medical centre,
7473,2020-10-23 19:08:00,part of the lanes of kwun tong by-pass tate's cairn tunnel bound near richland garden which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,kwun tong by-pass,tate's cairn tunnel,updated,richland garden,
7474,2020-10-23 19:13:00,the fast lane of ching cheung road kwai chung bound near caritas medical centre which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,ching cheung road,kwai chung,updated,caritas medical centre,
7475,2020-10-23 20:10:00,traffic of the following road sections has resumed normal: - kwun tong by-pass (yau tong bound) - kwun tong road (yau tong bound) ,heavy traffic,kwun tong by-pass and kwun tong road (yau tong bound),,updated,,
7476,2020-10-23 20:28:00,the slow lane of tolo highway sheung shui bound near sea view villas which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tolo highway,sheung shui,updated,sea view villas,
7477,2020-10-23 22:34:00,"due to watermain emergency works , the following road sections are closed to all traffic: - the lane no. 3 of cheung sha wan road mei foo bound near tonkin street; and - the fast lane of tonkin street lei cheng uk estate bound near cheung sha wan road. ",watermain emergency works,cheung sha wan road,mei foo,new,tonkin street,
7478,2020-10-23 23:31:00,the slow lane of argyle street kowloon city bound near forfar road which was closed due to watermain emergency works is re-opened to all traffic. ,watermain emergency works,argyle street,kowloon city,new,forfar road,
7479,2020-10-24 06:50:00,"due to hoisting of strong wind signal no.3, the following ferry services are still suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek - between ma liu shui and tung ping chau - between wong shek, wan tsai and chek keng - between aberdeen/ stanley and po toi island other than that, fortune ferry company limited only maintains limited service for tuen mun - tung chung - sha lo wan and will not stop at tai o today. ",hoisting of strong wind signal no. 3,,,updated,,
7480,2020-10-24 06:55:00,the middle lane of tonkin street lei cheng uk estate bound near un chau street which was closed due to watermain emergency works is re-opened to all traffic. ,watermain emergency works,tonkin street,lei cheng uk estate,new,un chau street,
7481,2020-10-24 07:01:00,"due to hoisting of strong wind signal no.3, the following ferry services are still suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek - between ma liu shui and tung ping chau - between wong shek, wan tsai and chek keng - between aberdeen/ stanley and po toi island - between discovery bay and mui wo other than that, fortune ferry company limited only maintains limited service for tuen mun - tung chung - sha lo wan and will not stop at tai o today. ",hoisting of strong wind signal no. 3,,,updated,,
7482,2020-10-24 07:37:00,"due to hoisting of strong wind signal no.3, the following ferry services are still suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek - between ma liu shui and tung ping chau - between wong shek, wan tsai and chek keng - between aberdeen/ stanley and po toi island - between discovery bay and mui wo ",hoisting of strong wind signal no. 3,,,updated,,
7483,2020-10-24 07:42:00,fortune ferry company limited will resume ferry service for tuen mun - tung chung - sha lo wan - tai o at 09:00am today. ,hoisting of strong wind signal no. 3,,,new,,
7484,2020-10-24 09:10:00,"the following ferry services are still suspended until further notice. - between ma liu shui and tap mun - between tap mun and wong shek - between ma liu shui and tung ping chau - between wong shek, wan tsai and chek keng - between aberdeen/ stanley and po toi island - between discovery bay and mui wo ",hoisting of strong wind signal no. 3,,,updated,,
7485,2020-10-24 09:48:00,"the following ferry services will be resumed gradually. the departure time of first sailings is:  between ma liu shui and tap mun - from ma liu shui: 12:30pm  between wong shek and tap mun - from tap mun: 10:00am - from wong shek: 10:30am  between wong shek, wan tsai and chek keng - from wong shek: 11:40am  between ma liu shui and tung ping chau - from ma liu shui: 10:30am  between aberdeen/ stanley and po toi island - from aberdeen: 10:30am. ",hoisting of strong wind signal no. 3,,,updated,,
7486,2020-10-24 10:04:00,"the following ferry services will be resumed gradually. the departure time of first sailings is: between ma liu shui and tap mun - from ma liu shui: 12:30pm between wong shek and tap mun - from tap mun: 10:00am - from wong shek: 10:30am between wong shek, wan tsai and chek keng - from wong shek: 11:40am between ma liu shui and tung ping chau - from ma liu shui: 10:30am between aberdeen/ stanley and po toi island - from aberdeen: 10:30am between discovery bay and mui wo - suspended until further notice ",hoisting of strong wind signal no. 3,,,updated,,
7487,2020-10-24 10:38:00,"the following ferry services will be resumed gradually. the departure time of first sailings is: between ma liu shui and tap mun - from ma liu shui: 12:30pm between wong shek and tap mun - from tap mun: 10:00am - from wong shek: 10:30am between wong shek, wan tsai and chek keng - from wong shek: 11:40am between ma liu shui and tung ping chau - from ma liu shui: 10:30am between aberdeen/ stanley and po toi island - from aberdeen: 10:30am between discovery bay and mui wo - from mui wo: 11:15am - from discovery bay: 10:45am ",hoisting of strong wind signal no. 3,,,updated,,
7488,2020-10-24 11:17:00,"due to repair of road surface , the fast lane of wong nai chung gap flyover cross harbour tunnel bound near queen elizabeth stadium is closed to all traffic. only the slow lane is still available to motorists. traffic is busy now. ",repair of road surface,wong nai chung gap flyover,cross harbour tunnel,new,queen elizabeth stadium,
7489,2020-10-24 11:57:00,"due to traffic accident , part of the lanes of ching cheung road kwun tong bound near nob hill are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,ching cheung road,kwun tong,new,nob hill,
7490,2020-10-24 12:03:00,"due to traffic accident , part of the lanes of ching cheung road kwun tong bound near nob hill are closed to all traffic. only remaining lane(s) are still available to motorists. traffic queues on ching cheung road kwun tong bound ends at tsing kwai highway near container terminal 4 and ching cheung road near lai king terrace. traffic is congested now. ",traffic accident,ching cheung road,kwun tong,updated,nob hill,
7491,2020-10-24 12:54:00,part of the lanes of ching cheung road kwun tong bound near nob hill which were closed due to traffic accident are re-opened to all traffic. traffic queues take time to disperse. ,traffic accident,ching cheung road,kwun tong,closed,nob hill,
7492,2020-10-24 13:53:00,"due to traffic accident , part of the lanes of chatham road south cross harbour tunnel bound near hong kong polytechnic university are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,chatham road south,cross harbour tunnel,new,hong kong polytechnic university,
7493,2020-10-24 13:57:00,part of the lanes of chatham road south cross harbour tunnel bound near hong kong polytechnic university which was closed due to traffic accident are re-opened to all traffic. ,traffic accident,chatham road south,cross harbour tunnel,closed,hong kong polytechnic university,
7494,2020-10-24 18:47:00,"due to traffic accident , the slow lane of tolo highway kowloon bound near the chinese university of hong kong is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tolo highway,kowloon,new,the chinese university of hong kong,
7495,2020-10-24 19:07:00,the slow lane of tolo highway kowloon bound near the chinese university of hong kong which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tolo highway,kowloon,updated,the chinese university of hong kong,
7496,2020-10-26 14:41:00,"due to traffic accident , the fast lane of prince edward road east kwun tong bound near choi hung road is closed to all traffic. only remaining lane(s) is still available to motorists. ",traffic accident,prince edward road east,kwun tong,new,choi hung road,
7497,2020-10-26 14:45:00,"due to traffic accident , the fast lane of prince edward road east kwun tong bound near choi hung road is still closed to all traffic. meanwhile, the fast lane leading from prince edward road east mong kok bound near choi hung road is closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",traffic accident,prince edward road east,kwun tong,updated,choi hung road,
7498,2020-10-26 15:24:00,"due to traffic accident , the fast lane of prince edward road east kwun tong bound near choi hung road is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on prince edward road east kwun tong bound ends at prince edward road west. traffic is busy now. ",traffic accident,prince edward road east,kwun tong,updated,choi hung road,
7499,2020-10-26 17:05:00,"due to watermain burst, the following road sections are closed to all traffic. the lane no. 4 of che kung miu road (ma on shan bound) near chui tin street; the middle lane of che kung miu road (hin keng estate bound) near chui tin street; and the middle and fast lanes of chui tin street (che kung miu road bound) near che kung miu road. ",traffic accident,,,new,,
7500,2020-10-27 06:05:00,the following road sections which were closed due to watermain burst are re-opened to all taffic: -the lane no. 4 of che kung miu road (ma on shan bound) near chui tin street; -the middle lane of che kung miu road (hin keng estate bound) near chui tin street; and -the middle and fast lanes of chui tin street (che kung miu road bound) near che kung miu road. ,traffic accident,"che kung miu road, chui tin street",,closed,,
7501,2020-10-27 07:08:00,"due to traffic accident , the lane no. 3 of tolo highway kowloon bound near wan tau tong estate is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tolo highway,kowloon,new,wan tau tong estate,
7502,2020-10-27 07:15:00,the lane no. 3 of tolo highway kowloon bound near wan tau tong estate which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tolo highway,kowloon,updated,wan tau tong estate,
